Membership No	Year	Bundle Name	On Trial	Trial Expiration Date	Amount
1050694	2015	BLOOD-ARCHIVE-ONLY	N		750
1050694	2016	BLOOD-ARCHIVE-ONLY	N		750
1049427	2013	BLOOD-ONLY	N		1100
1049427	2014	BLOOD-ONLY	N		1100
1049427	2015	BLOOD-ONLY	N		1100
1049427	2016	BLOOD-ONLY	N		1100
1047741	2013	BLOOD-ONLY	N		1100
1047741	2014	BLOOD-ONLY	N		1100
1047741	2015	BLOOD-ONLY	N		1100
1047741	2016	BLOOD-ONLY	N		1100
1050964	2013	BLOOD-ARCHIVE-ONLY	N		750
1050964	2014	BLOOD-ARCHIVE-ONLY	N		750
1050964	2015	BLOOD-ARCHIVE-ONLY	N		750
1050964	2016	BLOOD-ARCHIVE-ONLY	N		750
1051060	2013	ASH-ALL	N		1500
1051060	2014	ASH-ALL	N		1500
1051060	2015	ASH-ALL	N		1500
1051060	2016	ASH-ALL	N		1500
1063157	2013	BLOOD-ARCHIVE-ONLY	N		750
1063157	2014	BLOOD-ARCHIVE-ONLY	N		750
